...1,meanhighscores,percentmill,mytriggs,num_creatures1,num_creatures2,num_creatures3,players,creatureSum,TEC
153,0.3919,0,1,0,0,38,0 0 38,38,38
154,1.7189,0,2,0,0,38,0 0 38,38,76
155,18.17,13.78,3,0,0,38,0 0 38,38,114
156,46.8862,36.93,4,0,0,38,0 0 38,38,152
157,0.3952,0,1,0,0,39,0 0 39,39,39
158,2.0165,0,2,0,0,39,0 0 39,39,78
159,20.2088,15.9,3,0,0,39,0 0 39,39,117
160,49.1603,38.49,4,0,0,39,0 0 39,39,156
161,0.4032,0,1,0,0,40,0 0 40,40,40
162,2.1385,0,2,0,0,40,0 0 40,40,80
163,22.8976,18.39,3,0,0,40,0 0 40,40,120
164,51.207,39.62,4,0,0,40,0 0 40,40,160
165,0.0218,0,1,0,1,1,0 1 1,2,2
166,0.0405,0,2,0,1,1,0 1 1,2,4
167,0.0573,0,3,0,1,1,0 1 1,2,6
168,0.0865,0,4,0,1,1,0 1 1,2,8
169,0.0311,0,1,0,1,2,0 1 2,3,3
170,0.0629,0,2,0,1,2,0 1 2,3,6
171,0.0981,0,3,0,1,2,0 1 2,3,9
172,0.1376,0,4,0,1,2,0 1 2,3,12
173,0.0384,0,1,0,1,3,0 1 3,4,4
174,0.0807,0,2,0,1,3,0 1 3,4,8
175,0.1417,0,3,0,1,3,0 1 3,4,12
176,0.1951,0,4,0,1,3,0 1 3,4,16
177,0.0536,0,1,0,1,4,0 1 4,5,5
178,0.108,0,2,0,1,4,0 1 4,5,10
179,0.1821,0,3,0,1,4,0 1 4,5,15
180,0.2828,0,4,0,1,4,0 1 4,5,20
181,0.0606,0,1,0,1,5,0 1 5,6,6
182,0.132,0,2,0,1,5,0 1 5,6,12
183,0.2238,0,3,0,1,5,0 1 5,6,18
184,0.3422,0,4,0,1,5,0 1 5,6,24
185,0.0744,0,1,0,1,6,0 1 6,7,7
186,0.1491,0,2,0,1,6,0 1 6,7,14
187,0.2678,0,3,0,1,6,0 1 6,7,21
188,0.4567,0,4,0,1,6,0 1 6,7,28
189,0.0811,0,1,0,1,7,0 1 7,8,8
190,0.1829,0,2,0,1,7,0 1 7,8,16
191,0.3263,0,3,0,1,7,0 1 7,8,24
192,0.4934,0,4,0,1,7,0 1 7,8,32
193,0.0907,0,1,0,1,8,0 1 8,9,9
194,0.2052,0,2,0,1,8,0 1 8,9,18
195,0.39,0,3,0,1,8,0 1 8,9,27
196,0.6468,0,4,0,1,8,0 1 8,9,36
197,0.1011,0,1,0,1,9,0 1 9,10,10
198,0.2272,0,2,0,1,9,0 1 9,10,20
199,0.4198,0,3,0,1,9,0 1 9,10,30
200,0.7584,0,4,0,1,9,0 1 9,10,40
201,0.1095,0,1,0,1,10,0 1 10,11,11
202,0.2495,0,2,0,1,10,0 1 10,11,22
203,0.4908,0,3,0,1,10,0 1 10,11,33
204,0.8612,0,4,0,1,10,0 1 10,11,44
205,0.121,0,1,0,1,11,0 1 11,12,12
206,0.2821,0,2,0,1,11,0 1 11,12,24
207,0.5922,0,3,0,1,11,0 1 11,12,36
208,1.0314,0,4,0,1,11,0 1 11,12,48
209,0.1337,0,1,0,1,12,0 1 12,13,13
210,0.3049,0,2,0,1,12,0 1 12,13,26
211,0.6326,0,3,0,1,12,0 1 12,13,39
212,1.1431,0,4,0,1,12,0 1 12,13,52
213,0.1403,0,1,0,1,13,0 1 13,14,14
214,0.3472,0,2,0,1,13,0 1 13,14,28
215,0.7372,0,3,0,1,13,0 1 13,14,42
216,1.4054,0,4,0,1,13,0 1 13,14,56
217,0.1536,0,1,0,1,14,0 1 14,15,15
218,0.3603,0,2,0,1,14,0 1 14,15,30
219,0.8398,0,3,0,1,14,0 1 14,15,45
220,1.6224,0,4,0,1,14,0 1 14,15,60
221,0.1572,0,1,0,1,15,0 1 15,16,16
222,0.3833,0,2,0,1,15,0 1 15,16,32
223,0.9335,0,3,0,1,15,0 1 15,16,48
224,1.8023,0,4,0,1,15,0 1 15,16,64
225,0.1658,0,1,0,1,16,0 1 16,17,17
226,0.4235,0,2,0,1,16,0 1 16,17,34
227,1.0024,0,3,0,1,16,0 1 16,17,51
228,2.1606,0,4,0,1,16,0 1 16,17,68
229,0.1831,0,1,0,1,17,0 1 17,18,18
230,0.4742,0,2,0,1,17,0 1 17,18,36
231,1.1251,0,3,0,1,17,0 1 17,18,54
232,2.4391,0,4,0,1,17,0 1 17,18,72
233,0.1972,0,1,0,1,18,0 1 18,19,19
234,0.5012,0,2,0,1,18,0 1 18,19,38
235,1.3044,0,3,0,1,18,0 1 18,19,57
236,2.7934,0,4,0,1,18,0 1 18,19,76
237,0.2038,0,1,0,1,19,0 1 19,20,20
238,0.5375,0,2,0,1,19,0 1 19,20,40
239,1.3916,0,3,0,1,19,0 1 19,20,60
240,3.3443,0,4,0,1,19,0 1 19,20,80
241,0.2149,0,1,0,1,20,0 1 20,21,21
242,0.568,0,2,0,1,20,0 1 20,21,42
243,1.5184,0,3,0,1,20,0 1 20,21,63
244,3.8634,0,4,0,1,20,0 1 20,21,84
245,0.2181,0,1,0,1,21,0 1 21,22,22
246,0.6194,0,2,0,1,21,0 1 21,22,44
247,1.8349,0,3,0,1,21,0 1 21,22,66
248,4.6214,0,4,0,1,21,0 1 21,22,88
249,0.2285,0,1,0,1,22,0 1 22,23,23
250,0.6542,0,2,0,1,22,0 1 22,23,46
251,1.8799,0,3,0,1,22,0 1 22,23,69
252,5.5167,0,4,0,1,22,0 1 22,23,92
253,0.2542,0,1,0,1,23,0 1 23,24,24
254,0.7096,0,2,0,1,23,0 1 23,24,48
255,2.253,0,3,0,1,23,0 1 23,24,72
256,6.7316,0,4,0,1,23,0 1 23,24,96
257,0.2577,0,1,0,1,24,0 1 24,25,25
258,0.7634,0,2,0,1,24,0 1 24,25,50
259,2.3528,0,3,0,1,24,0 1 24,25,75
260,8.2621,1.44,4,0,1,24,0 1 24,25,100
261,0.265,0,1,0,1,25,0 1 25,26,26
262,0.8111,0,2,0,1,25,0 1 25,26,52
263,2.72,0,3,0,1,25,0 1 25,26,78
264,10.0337,4.15,4,0,1,25,0 1 25,26,104
